安全欄名,定義,角色
Y_dLNSGA,ΔLNSGA = LN(營業費用_t) − LN(營業費用_t-1)（縮尾）,應變數
dLNREV,ΔLNREV = LN(營收_t) − LN(營收_t-1)（縮尾）,自變數
DEC,收入下降虛擬（營收_t < 營收_t-1 = 1）,自變數
DEC_x_dREV,D × ΔLNREV（β2：整體成本黏性，預期負）,核心交乘
WATER_RATE,水回收率%（縮尾，主分析水績效）,自變數
WATER_DISC,水揭露虛擬-做法A（有水量紀錄=1）,自變數
WASTE_DISC_GRI,水揭露虛擬-做法B（GRI揭露度>0=1）,自變數(穩健)
WATER_RATE_D_dREV,WATER_RATE × D × ΔLNREV（β3：H1）,三重交乘
WATER_DISC_D_dREV,WATER_DISC × D × ΔLNREV（β3：H2）,三重交乘
WATER_DISCGRI_D_dREV,WASTE_DISC_GRI × D × ΔLNREV（穩健）,三重交乘
WASTE_INTENSITY,每百萬營收廢棄物（縮尾，廢棄物主分析）,自變數
WASTE_DISC,GRI廢棄物管理揭露度（連續，揭露品質）,自變數
WASTE_FINE,事業廢棄物罰鍰次數（違規風險）,自變數(穩健)
WasteInt_D_dREV,WASTE_INTENSITY × D × ΔLNREV（β3：H3）,三重交乘
WasteDisc_D_dREV,WASTE_DISC × D × ΔLNREV（β3：H4）,三重交乘
WasteFine_D_dREV,WASTE_FINE × D × ΔLNREV（β3：H5穩健）,三重交乘
SIZE,LN(資產總額)（縮尾）,控制
AI,資產密集度=資產總額/營收（縮尾）,控制
EI,員工密集度=員工人數/營收（縮尾）,控制
ROA,資產報酬率 ROA(A)稅後息前（縮尾）,控制
LEV,財務槓桿=負債比率（縮尾）,控制
SUCC_DEC,連續兩年營收下降虛擬,控制
SIZE_D_dREV,SIZE × D × ΔLNREV,控制交乘
AI_D_dREV,AI × D × ΔLNREV,控制交乘
EI_D_dREV,EI × D × ΔLNREV,控制交乘
ROA_D_dREV,ROA × D × ΔLNREV,控制交乘
LEV_D_dREV,LEV × D × ΔLNREV,控制交乘
SUCC_DEC_D_dREV,SUCC_DEC × D × ΔLNREV,控制交乘
WATER_RATE_D_dREV_l1,WATER_RATE(t-1) × D × ΔLNREV（遞延一期，方向四）,遞延交乘
WATER_RATE_D_dREV_l2,WATER_RATE(t-2) × D × ΔLNREV（遞延兩期，方向四）,遞延交乘
WATER_DISC_D_dREV_l1,WATER_DISC(t-1) × D × ΔLNREV（遞延一期）,遞延交乘
WATER_DISC_D_dREV_l2,WATER_DISC(t-2) × D × ΔLNREV（遞延兩期）,遞延交乘
WaterUse,耗水分組（高/低耗水產業，方向五）,分組
Industry,SASB主產業（產業固定效果）,固定效果
Year,西元年份（年份固定效果）,固定效果
